Scheme Name,Category,Description,Apply Link,Min Age,Max Age,Gender,Caste,Income Max (Annual),Occupation,Disability Required,Marital status,Religion,state,Education Required,Minority status,For Orphans,Eligibility Summary
Power Driven Chaff Cutter – sc Sub Plan (sc Category),"Animal Husbandry, sc",Subsidy for purchasing electric chaff cutters to reduce fodder wastage among sc dairy farmers.,https://www.myscheme.gov.in/,18,none,any,sc,null,Dairy Farmer,no,any,any,Gujarat,NA,no,no,sc dairy farmers in Gujarat eligible for fodder-cutting equipment subsidy.
Housing Subsidy scheme (GBOCWWB),"Building Worker, Construction, Labour",Financial support to build own house for registered construction workers.,https://www.myscheme.gov.in/,18,none,any,any,null,Registered Construction Worker,no,any,any,Gujarat,NA,no,no,Registered GBOCWWB construction workers in Gujarat eligible for house building subsidy.
Maternity Assistance scheme,"Industrial Worker, Maternity","Support for maternity-related health check-ups, diet, and medicine expenses.",https://www.myscheme.gov.in/,18,45,female,any,null,female industrial workers or wives of workers,no,Married,any,Gujarat,NA,no,no,female workers or wives of industrial workers in Gujarat eligible for maternity assistance.
Shramyogi Home Town scheme,"Migrant Labourers, Organized Worker",Railway fare assistance for organized sector migrant labourers returning home.,https://www.myscheme.gov.in/,18,none,any,any,null,Migrant Labourers in Organized Sector,no,any,any,Gujarat,NA,no,no,Gujarat-based organized sector migrant labourers eligible for rail fare assistance.
Laptop Purchase Assistance scheme,"Industrial Worker, student",Assistance for purchasing laptops for children pursuing professional/design education.,https://www.myscheme.gov.in/,18,26,any,any,null,Children of Registered Industrial Workers,no,any,any,Gujarat,Professional or Design Courses,no,no,Children of industrial workers in Gujarat enrolled in professional or design courses can avail laptop aid.
Prosthetic Aid scheme,"PwD, Self-Employment","Up to ₹20,000 assistance for prosthetic aids or self-employment tools for disabled individuals.",https://www.myscheme.gov.in/,18,none,any,any,null,any,yes,any,any,Gujarat,NA,no,no,"PwD individuals in Gujarat with ≥40% disability can receive up to ₹20,000 for aids/tools."
Sant Surdas scheme,"PwD, BPL",Monthly financial assistance to BPL children (0–17 years) with ≥80% disability.,https://www.myscheme.gov.in/,0,17,any,any,BPL,NA,yes,any,any,Gujarat,NA,no,no,Children aged 0–17 in BPL families with ≥80% disability are eligible for monthly aid.
Free Travel for PwD,"Disability, Transport",Free GSRTC bus travel for persons with disabilities within Gujarat and some nearby states.,https://www.myscheme.gov.in/,5,none,any,any,null,any,yes,any,any,Gujarat,NA,no,no,PwD individuals in Gujarat eligible for free bus travel through GSRTC.
Mukhyamantri Amrutum Yojana,"Health, BPL",Free health insurance coverage for BPL families for major illnesses including surgeries and hospitalization.,https://www.myscheme.gov.in/,none,none,any,any,BPL,any,no,any,any,Gujarat,NA,no,no,Gujarat BPL families eligible for health insurance coverage under this scheme.
Mahila Swavlamban scheme,Women Empowerment,Loan and subsidy assistance to promote self-employment and economic activities among rural and urban women.,https://www.myscheme.gov.in/,18,none,female,any,null,Self-employed or aspiring women entrepreneurs,no,any,any,Gujarat,NA,no,no,Women from rural and urban areas of Gujarat seeking to start or expand economic activities.
Gujarat Textile Policy: Assistance for Quality Certification,"MSMEs, Textile Industry",Financial support to textile MSMEs for obtaining national/international quality certifications.,https://www.myscheme.gov.in/,18,none,any,any,null,Textile Unit Owner,no,any,any,Gujarat,NA,no,no,Registered textile enterprises in Gujarat under the Textile Policy eligible for certification support.
Gujarat Textile Policy: Capital Subsidy,"MSMEs, Textile Industry",Capital subsidy to strengthen infrastructure in textile manufacturing units.,https://www.myscheme.gov.in/,18,none,any,any,null,Textile Unit Owner,no,any,any,Gujarat,NA,no,no,Textile MSMEs in Gujarat eligible for capital subsidy to upgrade manufacturing.
scheme for Awards to MSMEs,"MSMEs, startups",state-level recognition to innovative and performing MSMEs in Gujarat with awards and incentives.,https://www.myscheme.gov.in/,18,none,any,any,null,MSME Owner,no,any,any,Gujarat,NA,no,no,MSMEs operating in Gujarat showing excellence in production or innovation are eligible for awards.
Gujarat Textile Policy: Interest Subsidy,"MSMEs, Textile, Labour",Provides interest subsidy to textile units employing a minimum required number of workers.,https://www.myscheme.gov.in/,18,none,any,any,null,Labour-intensive Textile Units,no,any,any,Gujarat,NA,no,no,Textile units in Gujarat with the required workforce can get interest subsidies under this scheme.
startups/Innovation: Seed Support,"startups, Innovation",Offers seed funding to early-stage startups to help scale and develop sustainable business ventures.,https://www.myscheme.gov.in/,18,none,any,any,null,Recognized startups,no,any,any,Gujarat,NA,no,no,"startups recognized by the Gujarat startup ecosystem, seeking early-stage financial support."
Processing Units in state Market Committees,"Agriculture, Market",Financial aid to state Market Committees for establishing agro-processing units for farmers' produce.,https://www.myscheme.gov.in/,18,none,any,any,null,state Market Committee,no,any,any,Gujarat,NA,no,no,Approved state Market Committees in Gujarat for processing unit establishment.
Agro Service Providers (AGR-61),"Agriculture, Mechanization",Encourages farm mechanization through assistance to agro service providers and cooperatives.,https://www.myscheme.gov.in/,18,none,any,any,null,Farmers or agro-service providers,no,any,any,Gujarat,NA,no,no,Farmers or agro-entrepreneurs in Gujarat offering mechanized agricultural services.
Water Tank/storage for Drip Irrigation,"Agriculture, Water",Assistance for constructing water storage tanks to promote efficient irrigation via drip systems.,https://www.myscheme.gov.in/,18,none,any,any,null,Farmers adopting drip irrigation,no,any,any,Gujarat,NA,no,no,Farmers in Gujarat implementing drip irrigation systems needing water storage.
Drone Technology in Agriculture,"Agriculture, Technology",Support for adoption of drone technology for crop protection and pesticide spraying.,https://www.myscheme.gov.in/,18,none,any,any,null,Farmers or agri-tech entrepreneurs,no,any,any,Gujarat,NA,no,no,Farmers and agri-entrepreneurs in Gujarat using drones for agricultural practices.
Millet Development scheme,"Agriculture, Millet","Promotes millet farming with input kits, promotion events, and incentives.",https://www.myscheme.gov.in/,18,none,any,any,null,Farmers in millet cultivation zones,no,any,any,Gujarat,NA,no,no,Farmers in Gujarat cultivating millet crops.
Farm storage structure scheme,"Agriculture, Crop storage",Financial aid to construct safe storage units to reduce crop loss and boost price realization.,https://www.myscheme.gov.in/,18,none,any,any,null,Farmers growing crops in Gujarat,no,any,any,Gujarat,NA,no,no,Farmers in Gujarat needing on-farm storage facilities.
Diesel VAT Relief scheme for Fishermen,"Agriculture, Fishermen",Offers VAT relief on high-speed diesel used by fishermen for marine operations.,https://www.myscheme.gov.in/,18,none,male,any,null,Registered diesel-boat fishermen,no,any,any,Gujarat,NA,no,no,Registered male fishermen operating diesel boats in Gujarat.
Fish Seed & Inland Fisheries Equipment (Tribal Areas),"Agriculture, Fisheries",Support through fish seed and equipment for tribal inland fisheries.,https://www.myscheme.gov.in/,18,none,any,st,null,Inland fishermen (st category),no,any,any,Gujarat,NA,no,no,scheduled Tribe individuals in Gujarat involved in inland fisheries.
Compensation in Animal Death,Animal Husbandry,"Compensation for animal loss due to disease, disaster, or poisoning.",https://www.myscheme.gov.in/,18,none,any,any,null,Livestock owners facing qualifying animal loss,no,any,any,Gujarat,NA,no,no,Gujarat livestock owners facing livestock death from specified causes.
Milch Animal Farm (1 to 20 Animals),"Animal Husbandry, Rural Employment",Interest subsidy scheme to establish or expand dairy farms with up to 20 milch animals.,https://www.myscheme.gov.in/,18,none,any,any,null,Livestock/dairy farmers,no,any,any,Gujarat,NA,no,no,Gujarat residents setting up dairy farms with 1–20 milch animals.
Brackish Water Aquaculture Development,"Aquaculture, Fishing",Financial support for shrimp farming infrastructure in brackish water coastal zones.,https://www.myscheme.gov.in/,18,none,any,any,null,Aquaculture entrepreneurs/ coastal fishermen,no,any,any,Gujarat,NA,no,no,Individuals in Gujarat practicing shrimp farming in brackish water zones.
Cow Maintenance for Natural Farming,"Agriculture, Natural Farming",Aid for farmers maintaining indigenous cows for fully natural (chemical-free) farming practices.,https://www.myscheme.gov.in/,18,none,any,any,null,Farmers practicing 100% natural farming,no,any,any,Gujarat,NA,no,no,Gujarat farmers doing 100% natural farming with native cows.
Fodder Development for Gauchar Land,Animal Husbandry,Grants to develop fodder on common grazing land managed by local bodies or shelters.,https://www.myscheme.gov.in/,none,none,any,any,null,Gram Panchayats/ Gaushalas/ Panjarpols,no,NA,NA,Gujarat,NA,no,no,Institutions in Gujarat with grazing land for fodder development.
Fellowship for PG students (SDAU),"Education, Agriculture",Fellowship support to meritorious postgraduate students in Sardarkrushinagar Dantiwada Agricultural University.,https://www.myscheme.gov.in/,21,none,any,any,null,students in SDAU PG programs,no,any,any,Gujarat,PG (enrolled in SDAU),no,no,PG students enrolled in SDAU's agriculture-related faculties.
scholarship for UG students (Junagadh Agri Univ),"Education, Agriculture",Monthly scholarship to meritorious undergraduate students in Junagadh Agricultural University.,https://www.myscheme.gov.in/,18,21,any,any,null,students in UG agriculture programs,no,any,any,Gujarat,UG (enrolled in Junagadh Agri Univ),no,no,UG students at Junagadh Agricultural University with merit records.
scholarship for PG students (Junagadh Agri Univ),"Education, Agriculture",Monthly scholarship for postgraduate students of Junagadh Agricultural University.,https://www.myscheme.gov.in/,21,none,any,any,null,PG students in Junagadh Agri Univ,no,any,any,Gujarat,PG (enrolled),no,no,PG-level students enrolled at Junagadh Agricultural University.
Crop Input Subsidy for Crop Loss due to Calamities,"Agriculture, Disaster Relief",Compensation for farmers whose crops are damaged due to officially verified natural disasters.,https://www.myscheme.gov.in/,18,none,any,any,null,Farmers with validated crop loss,no,any,any,Gujarat,NA,no,no,Gujarat farmers with crop damage confirmed by official survey.
Mukhya Mantri Agricultural Mechanization scheme,"Agriculture, Mechanization",Subsidy and financial assistance to farmers for purchasing mechanized agricultural tools.,https://www.myscheme.gov.in/,18,none,any,any,null,Farmers purchasing machinery,no,any,any,Gujarat,NA,no,no,Farmers in Gujarat buying machinery for agricultural purposes.
Poultry Unit + Training scheme for sc,"Animal Husbandry, sc Welfare",Financial aid and poultry farming training to scheduled Caste individuals.,https://www.myscheme.gov.in/,18,none,any,sc,null,Aspiring poultry farmers,no,any,any,Gujarat,NA,no,no,sc individuals in Gujarat interested in starting poultry units.
Expansion of Fruit Crop Cultivation,"Agriculture, Horticulture","Assistance for intensive/ultra-intensive mango, banana, papaya cultivation.",https://www.myscheme.gov.in/,18,none,any,any,null,Farmers cultivating fruits,no,any,any,Gujarat,NA,no,no,"Farmers growing horticulture crops like mango, banana, papaya."
E-Market Facility in Market Committees,"Agriculture, Digital Market",Support to market committees for setting up e-market platforms.,https://www.myscheme.gov.in/,none,none,any,any,NA,Market Committees,no,any,any,Gujarat,NA,no,no,Registered market committees in Gujarat setting up e-platforms.
Kaidi Sahay Yojana,"Social Justice, Welfare","₹25,000 aid to families of prisoners who were sole breadwinners.",https://www.myscheme.gov.in/,18,none,any,any,null,Families of imprisoned earners,no,any,any,Gujarat,NA,no,no,Families of prisoners in Gujarat who were sole/primary earners.
Nalanda Award,Social Welfare,Awards for NGOs excelling in work for underprivileged communities.,https://www.myscheme.gov.in/,none,none,any,any,null,NGOs working in social welfare,no,any,any,Gujarat,NA,no,no,Gujarat-based organizations with outstanding social service work.
Electric scooter to Disabled Person,"Disability, Mobility","₹25,000 subsidy to orthopedic-disabled persons from BPL families to purchase electric scooters.",https://www.myscheme.gov.in/,18,none,any,any,BPL,any,yes,any,any,Gujarat,NA,no,no,BPL-category persons in Gujarat with orthopedic disabilities.
Saraswati Sadhana Yojana,"Education, EWS",Free bicycle distribution to EWS girls in Class 9 in govt/grant-in-aid schools.,https://www.myscheme.gov.in/,13,15,female,any,EWS,student,no,Unmarried,any,Gujarat,Class 9,no,no,EWS category girl students in Class 9 of govt/grant-in-aid schools.
Passenger Auto Rickshaw Loan scheme (DAADC),"Employment, sc",Loan assistance for sc Antyodaya families to buy passenger auto-rickshaws.,https://www.myscheme.gov.in/,18,none,any,sc,Antyodaya,Aspiring drivers,no,any,any,Gujarat,NA,no,no,sc individuals from Antyodaya families wanting to buy auto rickshaws.
Manav Kalyan Yojana (sc),Employment / Artisan / sc,Toolkit assistance for 10 trades to sc families.,https://www.myscheme.gov.in/,18,none,any,sc,600000,Artisan or Self-employed,no,any,any,Gujarat,NA,no,no,"sc families with income ≤ ₹6,00,000 in Gujarat eligible for self-employment toolkit assistance."
Manav Kalyan Yojana (st),Employment / Artisan / st,Toolkit assistance for 10 trades to st families (includes NT).,https://www.myscheme.gov.in/,18,none,any,st,600000,Artisan or Self-employed,no,any,any,Gujarat,NA,no,no,"st (including notified Tribe) families with income ≤ ₹6,00,000 in Gujarat are eligible."
Manav Kalyan Yojana (general–EWS),Employment / Artisan / general,Toolkit assistance for 10 trades to general category (EWS/BPL) families.,https://www.myscheme.gov.in/,18,none,any,general,600000,Artisan or Self-employed,no,any,any,Gujarat,NA,no,no,"EWS/BPL families under general category with income ≤ ₹6,00,000 in Gujarat are eligible."
Manav Kalyan Yojana (NT - if separately tagged),Employment / Artisan / st,Toolkit assistance for 10 trades to NT families.,https://www.myscheme.gov.in/,18,none,any,st,600000,Artisan or Self-employed,no,any,any,Gujarat,NA,no,no,"NT (notified Tribe) families in Gujarat with income ≤ ₹6,00,000 are eligible for toolkit assistance."
Shravan Tirthdarshan Yojna,"Pilgrimage, Senior Citizens",Travel aid for religious pilgrimages for Gujarat’s senior citizens.,https://www.myscheme.gov.in/,60,none,any,any,null,Retired/Senior citizen,no,any,any,Gujarat,NA,no,no,Senior citizens in Gujarat applying for religious tourism support.
AGR 2 (Farm Mechanization – general),"Agriculture, Mechanization",Subsidy for purchase of farm machinery for general category farmers (non-sc/st).,https://www.myscheme.gov.in/,18,none,any,general,NA,Farmer,no,any,any,Gujarat,NA,no,no,general category farmers in Gujarat (non-sc/st) eligible for farm mechanization subsidy.
Goat Unit scheme (sc),"Animal Husbandry, sc Welfare",Subsidy to set up goat units (10+1 goats) for sc individuals as livelihood support.,https://www.myscheme.gov.in/,18,none,any,sc,NA,Animal Rearing,no,any,any,Gujarat,NA,no,no,scheduled Caste individuals in Gujarat engaged in animal rearing.
Mamta Taruni Abhiyan,"Health, Women",Rural healthcare services for adolescent girls and pregnant women including nutrition and check-ups.,https://www.myscheme.gov.in/,10,none,female,any,NA,student or Pregnant Women,no,any,any,Gujarat,NA,no,no,Adolescent girls (10–19) and pregnant women in rural Gujarat.
Mukhyamantri Yuva Swavalamban Yojana (MYSY),"Education, Youth",scholarship for meritorious students pursuing higher education with income below threshold.,https://www.myscheme.gov.in/,17,25,any,any,"₹6,00,000",student,no,any,any,Gujarat,80%+ in 12th / Diploma,no,no,Gujarat students pursuing higher studies with income ≤ ₹6L and required merit.
AGR 4 (Farm Mechanization – sc Farmers),"Agriculture, sc Welfare",Equipment subsidy exclusively for scheduled Caste farmers in Gujarat.,https://www.myscheme.gov.in/,18,none,any,sc,NA,Farmer,no,any,any,Gujarat,NA,no,no,sc farmers in Gujarat eligible for farm equipment subsidy.
Assistance scheme for Occupational Diseases (GBOCWWB),"Labour, Health",Financial support for registered construction workers with occupational diseases/injuries.,https://www.myscheme.gov.in/,18,none,any,any,NA,Construction Worker,no,any,any,Gujarat,NA,no,no,Registered construction workers in Gujarat with listed occupational diseases/injuries.
Education Assistance/Ph.D scheme (GBOCWWB),"Labour, Education",Annual assistance for up to two children of registered construction workers pursuing higher education.,https://www.myscheme.gov.in/,17,30,any,any,NA,student (Child of Construction Worker),no,any,any,Gujarat,Higher Education,no,no,Two children of registered construction workers in Gujarat pursuing higher education.
Go-Green Three Wheelers scheme (GBOCWWB),"Disability, Transport",Subsidy for battery-operated e-rickshaws for disabled construction workers.,https://www.myscheme.gov.in/,18,none,any,any,NA,Construction Worker,yes,any,any,Gujarat,NA,no,no,Registered construction workers with disability in Gujarat eligible for e-rickshaw subsidy.
Accidental Death Assistance scheme (GBOCWWB),"Labour, Welfare",Compensation for accidental death/disability at work for construction workers (registered or not).,https://www.myscheme.gov.in/,18,none,any,any,NA,Construction Worker,no,any,any,Gujarat,NA,no,no,Heirs of deceased/disabled construction workers (registered/unregistered) in Gujarat.
Shramik Annapurna Yojana (GBOCWWB),"Labour, Welfare",Nutritious food at subsidized rates for construction workers and their families.,https://www.myscheme.gov.in/,18,none,any,any,NA,Construction Worker,no,any,any,Gujarat,NA,no,no,Registered construction workers and their family members in Gujarat eligible for subsidized meals.
Educational Award scheme – Gujarat Labour Welfare Board,Education,Awards to children of registered labourers as motivation for continuing education.,https://www.myscheme.gov.in/,6,25,any,any,NA,Child of Labour Worker,no,any,any,Gujarat,school/College student,no,no,students who are children of registered Labour Welfare Board workers.
Go Green scheme – Gujarat Labour Welfare Board,"Environment, Transport",Subsidy to registered workers for purchasing electric two-wheelers.,https://www.myscheme.gov.in/,18,none,any,any,NA,Labour/Industrial Worker,no,any,any,Gujarat,NA,no,no,Registered industrial/labour workers in Gujarat eligible for e-scooter subsidy.
Private Tuition Assistance for sc students (11th & 12th science),"sc, Education",Financial assistance for sc students in std 11–12 science stream with good marks in std 10.,https://www.myscheme.gov.in/,15,18,any,sc,NA,student,no,any,any,Gujarat,std 11–12 (science),no,no,sc students in std 11–12 science with 70%+ marks in std 10 in Gujarat.
Home Loan Interest Subsidy scheme – Labour Welfare Board,"Housing, Labour",3% interest subsidy for organized sector workers who have availed home loans.,https://www.myscheme.gov.in/,18,none ,any,any,NA,Industrial/Organized Worker,no,any,any,Gujarat,NA,no,no,Organized sector workers in Gujarat who have taken home loans.
Marriage Assistance scheme – Labour Welfare Board,"Social Welfare, Labour",One-time financial assistance to female industrial workers after marriage.,https://www.myscheme.gov.in/,18,none ,female,any,NA,Industrial Worker,no,Married,any,Gujarat,NA,no,no,female industrial workers in Gujarat eligible for financial aid after marriage.
Post-Matric scholarship for sc students – Gujarat,"sc, Education",scholarship for sc students from low-income families pursuing post-matric studies.,https://www.myscheme.gov.in/,15,30,any,sc,As per guidelines,student,no,any,any,Gujarat,Post-Matric (11th+),no,no,sc students from poor households enrolled in post-matric education.
Dr. P. G. Solanki scheme for Law Graduates (sc),"Law, Financial Assistance",Aid for sc law graduates to begin legal practice and set up office/shop.,https://www.myscheme.gov.in/,21,none,any,sc,NA,Law Graduate,no,any,any,Gujarat,LLB or Equivalent,no,no,sc law graduates seeking support to start legal practice.
Swami Vivekanand scholarship (sc students – ITI/Professional),"Education, sc",Monthly stipend for sc students in ITI or professional courses (Govt/Private).,https://www.myscheme.gov.in/,15,30,any,sc,NA,student,no,any,any,Gujarat,ITI/Professional Courses,no,no,sc students enrolled in Govt/Private ITI or professional programs.
Coaching Assistance for Govt Exams (sc),"Coaching, sc",Coaching fee support for sc students preparing for government recruitment exams.,https://www.myscheme.gov.in/,18,35,any,sc,NA,student/Aspiring Jobseeker,no,any,any,Gujarat,Graduate/12th Pass (as per exam),no,no,"sc candidates preparing for UPsc, GPsc, Ssc, Bank, etc."
Kunwar Bai Nu Mameru Yojana,"Marriage, sc",One-time financial assistance for marriage of up to 2 sc daughters in a family.,https://www.myscheme.gov.in/,18,none,female,sc,As per norms,NA,no,Married,any,Gujarat,NA,no,no,sc girls (max 2 per family) eligible at time of marriage.
Mai Ramabai Ambedkar Saat Phera Samuh Lagna Yojana,"Group Marriage, sc",Incentives for sc couples and organizing bodies conducting group marriages.,https://www.myscheme.gov.in/,18,none,any,sc,NA,NA,no,Married,any,Gujarat,NA,no,no,scheduled Caste couples participating in group weddings.
Chaff Cutter scheme – TASP (st),"Agriculture, st",Subsidy for electric chaff cutters to reduce fodder wastage.,https://www.myscheme.gov.in/,18,none,any,st,NA,Dairy Farmer,no,any,any,Gujarat,NA,no,no,st dairy farmers in Gujarat.
Tools & Equipment – HRT-2 (general),"Agriculture, general",Financial aid to general category farmers for sorting and post-harvest tools.,https://www.myscheme.gov.in/,18,none,any,general,NA,Farmer / Farmer Groups / Societies,no,any,any,Gujarat,NA,no,no,"general category farmers, co-ops, or groups in Gujarat."
Tools & Equipment – HRT-3 (st),"Agriculture, st",Assistance for sorting and post-harvest tools to st farmers or their societies.,https://www.myscheme.gov.in/,18,none,any,st,NA,Farmer / Groups / Societies,no,any,any,Gujarat,NA,no,no,"scheduled Tribe farmers, co-ops, or groups in Gujarat."
Coaching Aid for Exams like IIM/NIFT/NLU/CEPT (sc),"Education, sc",Financial assistance to sc students preparing for elite institutes.,https://www.myscheme.gov.in/,17,25,any,sc,NA,student,no,any,any,Gujarat,12th Pass or Equivalent,no,no,"sc students preparing for IIM, NIFT, NLU, CEPT exams."
AGR-50 Tractor Purchase Assistance scheme,Agriculture,Provides subsidy to farmers for purchasing tractors under AGR-50 norms.,https://www.myscheme.gov.in/,18,none,any,any,NA,Farmer,no,any,any,Gujarat,NA,no,no,Farmers in Gujarat eligible under AGR-50 norms.
Milch Animal Farm – st Subsidy scheme,"Animal Husbandry, st",Interest subsidy to st farmers for setting up dairy farms with up to 20 milch animals.,https://www.myscheme.gov.in/,18,none,any,st,NA,Dairy Farmer,no,any,any,Gujarat,NA,no,no,scheduled Tribe farmers in Gujarat establishing 1–20 animal units.
Kisan Suryoday Yojana (KSY),"Agriculture, Energy",Ensures daytime electricity for irrigation using solar/renewable energy solutions.,https://www.myscheme.gov.in/,18,none,any,any,NA,Farmer,no,any,any,Gujarat,NA,no,no,Farmers in Gujarat requiring daytime power for irrigation.
PURNA scheme,"Women, Health, Nutrition","Empowers adolescent girls through education on nutrition, health, hygiene, and legal rights.",https://www.myscheme.gov.in/,10,19,female,any,NA,student (Adolescent Girls),no,any,any,Gujarat,NA,no,no,"Adolescent girls in Gujarat, especially those at-risk."
Aatmanirbhar Gujarat MSME: Quality Certification,"MSME, Industry",Provides financial support for MSMEs to obtain quality certifications for improving product standards.,https://www.myscheme.gov.in/,18,none,any,any,NA,MSME Owners,no,any,any,Gujarat,NA,no,no,Gujarat-based MSMEs applying for approved quality certifications.
Aatmanirbhar Gujarat MSME: Technology Acquisition,"MSME, Innovation",Offers reimbursement for the cost incurred by MSMEs in acquiring eligible new technologies listed under the scheme.,https://www.myscheme.gov.in/,18,none,any,any,NA,MSME Owners,no,any,any,Gujarat,NA,no,no,MSMEs in Gujarat acquiring approved new technologies.
Aatmanirbhar Gujarat MSME: EPF Reimbursement,"MSME, Labour",Provides reimbursement of EPF contributions made by MSMEs to promote employment generation.,https://www.myscheme.gov.in/,18,none,any,any,NA,MSME Employers,no,any,any,Gujarat,NA,no,no,Registered MSMEs employing eligible workers and contributing to EPF.
Aatmanirbhar Gujarat MSME: Patent Registration,"MSME, IP",Financial assistance for MSMEs applying for national or international patent registration and protection.,https://www.myscheme.gov.in/,18,none,any,any,NA,MSME Owners,no,any,any,Gujarat,NA,no,no,MSMEs in Gujarat filing for patent registration (national/international).
Aatmanirbhar Gujarat Mega Industries: SGst on Capital Goods,"Industry, Capital Goods",Reimbursement of SGst paid on capital goods purchased by mega industries as per notified policy.,https://www.myscheme.gov.in/,18,none,any,any,NA,Industrial Investors,no,any,any,Gujarat,NA,no,no,Mega industries investing in capital goods in Gujarat.
scheme for R&D Activities: Sponsored/Contract Research,"R&D, Innovation",Provides financial assistance to industries for undertaking research via sponsored or contract-based arrangements with institutions.,https://www.myscheme.gov.in/,18,none,any,any,NA,R&D Organizations/ Companies,no,any,any,Gujarat,NA,no,no,Gujarat-based companies/institutions engaging in R&D via contract/sponsored mode.
Aatmanirbhar Gujarat – Large Industries: EPF Reimbursement,"Large Industry, Employment",Reimbursement of EPF contributions to large industries to incentivize employment creation.,https://www.myscheme.gov.in/,18,none,any,any,NA,Large industry employers,no,any,any,Gujarat,NA,no,no,Large industries in Gujarat hiring under defined employment criteria.
Assistance to startups having a Significant Impact on Society,"startups, Innovation",Assistance to Gujarat-registered startups demonstrating social impact to promote inclusive innovation and job creation.,https://www.myscheme.gov.in/,18,none,any,any,NA,startup founders,no,any,any,Gujarat,NA,no,no,startups in Gujarat with documented social impact.
Financial Assistance to Industrial Parks: Infrastructure Facilities,"Industrial Parks, Infrastructure","Financial assistance for setting up infrastructure (roads, water, electricity, etc.) in private industrial parks.",https://www.myscheme.gov.in/,18,none,any,any,NA,Private developers,no,any,any,Gujarat,NA,no,no,Developers establishing industrial parks in Gujarat.
startups: Pre-Series A Funding,"startups, Funding",Financial support to eligible early-stage startups seeking pre-Series A funding to expand operations.,https://www.myscheme.gov.in/,18,none,any,any,NA,Early-stage startup founders,no,any,any,Gujarat,NA,no,no,startups in Gujarat preparing to raise pre-Series A capital.
Specialized Skill Development Centers at Industry,"Technical Training, Industry",Grants to set up specialized skill development centers in industrial sectors through industry collaboration.,https://www.myscheme.gov.in/,18,none,any,any,NA,Industry associations/consortiums,no,any,any,Gujarat,NA,no,no,Industry associations/companies interested in skill center partnerships.
Anchor Institute scheme,"Education, Skill Development",Financial support to establish anchor institutions focused on building domain-specific expertise and training skilled manpower.,https://www.myscheme.gov.in/,18,none,any,any,NA,Higher education/technical institutions,no,any,any,Gujarat,NA,no,no,Higher education institutions and technical organizations in Gujarat.
Dr. Ambedkar Udyog Uday Yojana: Interest Subsidy (Service Sector) (sc),Entrepreneurship / sc,Interest subsidy to promote sc entrepreneurs in the service sector.,https://www.myscheme.gov.in/,18,none,any,sc,NA,Service sector entrepreneurs,no,any,any,Gujarat,NA,no,no,sc entrepreneurs running service-based businesses in Gujarat are eligible for interest subsidy assistance.
Dr. Ambedkar Udyog Uday Yojana: Interest Subsidy (Service Sector) (st),Entrepreneurship / st,Interest subsidy to promote st entrepreneurs in the service sector.,https://www.myscheme.gov.in/,18,none,any,st,NA,Service sector entrepreneurs,no,any,any,Gujarat,NA,no,no,st entrepreneurs running service-based businesses in Gujarat are eligible for interest subsidy assistance.
MSME Capital Investment Subsidy (Manufacturing Sector),"MSME, Investment","Capital subsidy for investment in plant, machinery, or equipment for MSMEs in the manufacturing sector.",https://www.myscheme.gov.in/,18,none,any,any,NA,Manufacturing MSMEs,no,any,any,Gujarat,NA,no,no,Gujarat-based MSMEs in the manufacturing domain making capital investments.
MSME ZED Certification Support,"MSME, Quality",Financial support to MSMEs for acquiring ZED (Zero Effect Zero Defect) certification to enhance product quality.,https://www.myscheme.gov.in/,18,none,any,any,NA,MSME owners/applicants,no,any,any,Gujarat,NA,no,no,Registered MSMEs in Gujarat applying for ZED certification.
Dr. Ambedkar Udyog Uday Yojana: Power Connection Charges (sc),MSME / sc,Reimbursement for power connection charges to sc-owned MSMEs to reduce initial setup burden.,https://www.myscheme.gov.in/,18,none,any,sc,NA,sc MSMEs needing electricity connection,no,any,any,Gujarat,NA,no,no,sc-owned MSMEs in Gujarat needing power connection setup are eligible for reimbursement.
Dr. Ambedkar Udyog Uday Yojana: Power Connection Charges (st),MSME / st,Reimbursement for power connection charges to st-owned MSMEs to reduce initial setup burden.,https://www.myscheme.gov.in/,18,none,any,st,NA,st MSMEs needing electricity connection,no,any,any,Gujarat,NA,no,no,st-owned MSMEs in Gujarat needing power connection setup are eligible for reimbursement.
Dr. Ambedkar Udyog Uday Yojana: Rent Assistance (sc),MSME / sc,Rent reimbursement for sc-owned micro/small enterprises in rented commercial spaces.,https://www.myscheme.gov.in/,18,none,any,sc,NA,sc-owned MSEs operating from rented premises,no,any,any,Gujarat,NA,no,no,sc MSEs in Gujarat operating from rented spaces are eligible for rent reimbursement.
Dr. Ambedkar Udyog Uday Yojana: Rent Assistance (st),MSME / st,Rent reimbursement for st-owned micro/small enterprises in rented commercial spaces.,https://www.myscheme.gov.in/,18,none,any,st,NA,st-owned MSEs operating from rented premises,no,any,any,Gujarat,NA,no,no,st MSEs in Gujarat operating from rented spaces are eligible for rent reimbursement.
MSME Power Connection Charges Assistance,"MSME, startup",Offers reimbursement for electricity connection charges to reduce startup costs for MSMEs.,https://www.myscheme.gov.in/,18,none,any,any,NA,Registered MSMEs in Gujarat,no,any,any,Gujarat,NA,no,no,MSMEs registered in Gujarat needing new power connections.
